ResponseId;IC1;IC2;IC3;Q1;A1;O1;A2;A2_8_TEXT;A2_a;A2_b;A2_b_5_TEXT;CB1;RB;CB3;DF1;DF2;SB1;TP1;OS1;MS;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q135_First Click;Q135_Last Click;Q135_Page Submit;Q135_Click Count;Q10;Q10_6_TEXT;Q11_1;Q11_2;Q11_3;Q11_4;Q11_5;Q11_6;Q11_7;Q11_8;Q18;Q19;Q19_12_TEXT;Q20;Q21;Q22;Q22_11_TEXT;Q23;Q23_10_TEXT;Q142;Q12;Q13;Q14;Q15;Q16;Q24;A7_1;A7_2;A7_3;A7_4;A7_5;A7_6;A8;A9_1;A9_2;A9_3;A9_4;A9_5;A9_6;GENDER;GENDER_TEXT;AGE_ITEM;AGE_NUM;ETH_HISP;ETH_R;A6_15_TEXT;Q25
R_3O0K4D5K5qzvIno;Yes;Yes;Yes;Yes;School of Medicine & Health Sciences;;Staff (non-faculty/administrative);;;;;1password;I used a third-party password manager (for example, Lastpass or Onepass);No;;;;Yes;;;No;Used multiple words with a hyphen then some numbers;Because it’s secure;No;About equally secure;Because it’s a 20 or more character password with a bunch of random stuff;I use a third-party manager (for example, Lastpass or Onepass).;2.287;20.637;21.446;12;Other People (friends, family, etc, but not at work);;Strongly Agree;Somewhat Agree;Neither agree nor disagree;Somewhat Agree;Strongly Disagree;Strongly Disagree;Somewhat Agree;Neither agree nor disagree;Security;1Password;;Extremely satisfied;I let the password manager create and store the password;Generate strong passwords;;Other;I had to remember my Apple ID one time and it led to a bunch of shit where I couldn’t fix my phone because I couldn’t remember the password and couldn’t pull up the password on a broken phone screen.;I ended up buying a new phone;;;;;;Extremely unlikely;Strongly Agree;Strongly Agree;Agree;Agree;Somewhat Agree;Strongly Agree;None of the above;Medium understanding;Medium understanding;Medium understanding;Medium understanding;Medium understanding;Medium understanding;Man;;My age is:;26;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies
R_suOHSozyUVtw2fn;Yes;Yes;Yes;Yes;Graduate School of Education & Human Development;;Student;;No;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;I use the 1Password application across all my computers and devices;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a third-party password manager (for example, Lastpass or Onepass),I used a system-provided password manager (for example, Apple's Keychain),I wrote my passwords down on paper or other physical media.;No;No;No;No;Yes;No;I have , in the past, used a variety of ways to store passwords, but after so much struggling to keep passwords safe and diverse, I went with 1Password;No;I used a phrase in my head and inserted special characters and numbers, ensure no actual words were included. Additionally, my password is 15 characters;Strength;No;About equally secure;Any password breach can lead to others, so all my passwords are equally strong;I use a third-party manager (for example, Lastpass or Onepass).;16.925;16.925;30.708;1;I don’t know (don’t remember, not sure);;Strongly Agree;Strongly Agree;Strongly Disagree;Somewhat Disagree;Somewhat Agree;Somewhat Agree;Somewhat Agree;Somewhat Disagree;Secure storage of the multiple passwords;1Password;;Extremely satisfied;I let the password manager create and store the password;Having unique passwords;;None of the above;;sometimes it is just a pain, not fast enough;;;;;;Extremely likely;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;None of the above;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Woman;;My age is:;58;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies
R_vqcg61SflvTlT7X;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Student;;Yes;Bachelors (B.A., B.S., etc.);;A variety of my passwords consists of personal experiences and or dates/memories I’ve had in my life;I remembered my passwords without writing them down or storing them digitally,I saved my passwords in the browser (for example, passwords saved in Chrome),I wrote my passwords down on paper or other physical media.;No;;;No;;;Due to neurological issues I’ve developed of minimal memory impairment after a car accident I was in five years ago, I wrote down a couple on sticky notes and place them in a locked box in my bedroom. This is in case if I truly cannot identify nor remember detailed passwords I created for various accounts. As for sometimes remembering some passwords, the reasoning is significant events in my life that took place which I can recollect.;No.;Personal relatives and experiences/dates in my life.;Because no one can identify it since the password pertains to something very specific and personal that took place for me in my early adolescent life.;Yes;Much more secure;Because no one can really identify it and I avoided basic phrases and words/dates;I save my passwords in the browser (for example, passwords saved in Chrome).;1.803;24.023;24.857;9;Media (Internet, TV, radio, etc),Other People (friends, family, etc, but not at work),School/class;;Neither agree nor disagree;Somewhat Agree;Strongly Agree;Strongly Agree;Strongly Disagree;Somewhat Disagree;Neither agree nor disagree;Strongly Agree;Safety and reliance;Chrome;;Extremely satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;Cannot view passwords;;That I made a mistake typing the password and cannot view it;;;;;;Extremely likely;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;None of the above;Medium understanding;High understanding;Medium understanding;Full Understanding;No understanding;Full Understanding;Woman;;My age is:;24;No, not of Hispanic, Latino/a/x, or Spanish origin;Other (Designation not listed here);Middle eastern: Iranian;I want my email to be entered into the $10 Amazon gift card raffle
R_1LXXR8uEg3omNXk;Yes;Yes;Yes;Yes;Other;Libraries and Academic Innovation;Leadership (provost/dean/president’s office);;;;;I use Keepass2 Android. GW also provides us LastPass, which we use in my group for common passwords for servers or shared applications;I remembered my passwords without writing them down or storing them digitally,I reset my password every time I log in rather than remembering my password,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a third-party password manager (for example, Lastpass or Onepass);No;No;Yes;No;Yes;;You asked if I EVER used these strategies. I don't combine them, but this describes an evolution over many years. Back when I only had to remember a pin for my debit card and my email address I could just remember. Now that I need a password to do literally anything, including mail a package or get coffee, I use a password manager.;No;I don't remember. It hasn't been changed in a really long time.;Probably because it made sense to me i the way it combined all of the required elements (length, characters, etc);Yes;About equally secure;All of my passwords are unique and not based on names or easily guessed dates.;I use a third-party manager (for example, Lastpass or Onepass).;27.42;30.753;38.163;3;Other People (friends, family, etc, but not at work);;Somewhat Agree;Neither agree nor disagree;Strongly Disagree;Neither agree nor disagree;Somewhat Disagree;Somewhat Agree;Somewhat Agree;Somewhat Agree;I am required to have 100s of accounts now. There is no way to remember them all.;KeePass;;Moderately satisfied;I let the password manager create and store the password;Having unique passwords;;None of the above;;I dislike having to do the extra step of using the password manager when creating or recalling a password, but none of the things you listed are an issue for me.;;;;;;Moderately likely;Somewhat Agree;Somewhat Agree;Somewhat Agree;Somewhat Agree;Somewhat Disagree;Disagree;None of the above;High understanding;High understanding;Medium understanding;High understanding;High understanding;High understanding;Woman;;My age is:;48;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;None of the above
R_3L8gi1kEZYPCCJq;Yes;Yes;Yes;Yes;Other;Office for Study Abroad;Staff (non-faculty/administrative);;;;;I use GW single sign on;I stored my passwords in a digital file or files,I wrote my passwords down on paper or other physical media.;No;Yes;No;;;;I wrote my password down in the Notes app of my laptop as well as on paper when I need access to my account but I won't be using my work computer;N/A;I created a password when I started at GW, it's the password I use for most GW accounts. I just picked a random phrase;I needed to set up my account, so I just chose a phrase that met the requirements;Yes;Unsure;I'm not sure how secure it is, I just know it allows me to log in;I do not use a password manager.;21.106;22.935;25.416;2;Work;;Neither agree nor disagree;Somewhat Disagree;Strongly Agree;Strongly Agree;Strongly Disagree;Somewhat Agree;Somewhat Agree;Strongly Disagree;;;;;;;;;;;It's easier for me to just write passwords down and copy and paste them in. I have had password managers stop working on me in the past;Yes;I stopped using a manager in previous job. I stopped using it because the software stopped working on my computer;;I'm not against it;Neither likely nor unlikely;Disagree;Neither agree nor disagree;Somewhat Disagree;Disagree;Somewhat Disagree;Strongly Disagree;None of the above;Medium understanding;High understanding;Low understanding;Medium understanding;No understanding;No understanding;Woman;;Prefer not to disclose;;No, not of Hispanic, Latino/a/x, or Spanish origin;Black or African American;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_xmFrkDk0HbUmqAx;Yes;Yes;Yes;Yes;School of Nursing;;Staff (non-faculty/administrative);;;;;Google Security;I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome);Yes;No;Yes;No;;;Digital File are passwords others might need should ever I be out for a long period of time;I rely on Google's security to tell me about a breach. I immediately change the passwords to any at risk accounts.;Familiar only to me;I needed to remember what I did;Yes;About equally secure;I trust Google (maybe too much?);I save my passwords in the browser (for example, passwords saved in Chrome).;22.885;22.885;32.436;1;Other;Browser invitation to save;Somewhat Disagree;Strongly Disagree;Neither agree nor disagree;Somewhat Agree;Strongly Disagree;Strongly Disagree;Somewhat Agree;Somewhat Disagree;So many accounts, so many passwords.;Chrome;;Extremely satisfied;I create the password myself, and the password manager stores it for me;Not having to memorize passwords;;Entering passwords when password manager is not installed;;It causes me to have to try and remember something I likely already forgot. I depended too much on a password manager;;;;;;Moderately likely;Agree;Somewhat Agree;Somewhat Agree;Disagree;Somewhat Agree;Disagree;None of the above;High understanding;High understanding;Low understanding;Low understanding;Medium understanding;Full Understanding;Woman;;My age is:;31;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_3MleQO0gQnEZ5Gu;Yes;Yes;Yes;Yes;Graduate School of Education & Human Development;;Full-time Faculty;;;;;store some in the computer. and write some in a journal.;I remembered my passwords without writing them down or storing them digitally,I saved my passwords in the browser (for example, passwords saved in Chrome),I wrote my passwords down on paper or other physical media.;Yes;;;Yes;;;I usually try to just remember the passwords but for less used accounts I will store the password in the browser or write it down on a post it next to my computer.;Nope;Random combo of names of distant family members and birth years.;because having a specific strategy helps me remember passwords across platforms.;Yes;Somewhat more secure;this account has student information and personal information attached.;I save my passwords in the browser (for example, passwords saved in Chrome).;15.345;15.345;31.551;1;I don’t know (don’t remember, not sure);;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Strongly Disagree;Strongly Disagree;Somewhat Disagree;Somewhat Disagree;save time entering the password.;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;I have security concerns;;I worry that a company has a record of all my passwords and if my laptop is stolen and someone hacks the login password, they would have immediate access to my accounts.;;;;;;Moderately likely;Somewhat Agree;Somewhat Agree;Somewhat Agree;Agree;Agree;Somewhat Agree;None of the above;Low understanding;Medium understanding;Medium understanding;Medium understanding;No understanding;High understanding;Woman;;My age is:;47;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;None of the above
R_WAtDwCvDqfBTZUR;Yes;Yes;Yes;Yes;Graduate School of Education & Human Development;;Staff (non-faculty/administrative);;;;;I rely mostly on single sign on for GW accounts. Since we are working from home right now, I have passwords saved in Chrome.;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome);Yes;No;Yes;Yes;;;I'm pretty good at remembering my passwords, generally speaking. For convenience, I do have some saved on my personal computer via chrome. There is an internal Box file that houses passwords for less commonly used accounts (fedex, etc) as well.;I feel my department is really pretty..... willy nilly... about passwords. The box file I mentioned seems dangerous!;Honestly I just tried to slightly exceed the password requirements.;Ease;Yes;About equally secure;I wanted my password to feel safe to me, but not be so elaborate I'd never remember it;I save my passwords in the browser (for example, passwords saved in Chrome).;12.719;12.719;36.401;1;I don’t know (don’t remember, not sure),Other;Chrome recommended it to me;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Strongly Agree;Strongly Disagree;Strongly Disagree;Somewhat Agree;Neither agree nor disagree;Ease;Chrome;;Extremely satisfied;I create the password myself, and the password manager stores it for me;Not having to memorize passwords;;Master password concerns;;I'm concerned that if someone were to discover my google password they could access all of my accounts via chrome where my passwords are saved. I do have 2 level authentication set up to help mitigate this;;;;;;Moderately likely;Somewhat Agree;Neither agree nor disagree;Somewhat Disagree;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;None of the above;Medium understanding;Full Understanding;Medium understanding;Full Understanding;Medium understanding;High understanding;Woman;;My age is:;30;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_2fwflHNZy4g8q56;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Full-time Faculty;;;;;I use last pass;I remembered my passwords without writing them down or storing them digitally,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a third-party password manager (for example, Lastpass or Onepass),I used a system-provided password manager (for example, Apple's Keychain);Yes;;;No;Yes;Yes;for financial information I remember passwords which are all variants of each other and for passwords that are frequently updated I use the managers;no;variation on other institutional passwords;easy to remember;Yes;Somewhat less secure;so that I could remember it because I have to use it to log on to other computers that are not my own;I save my passwords in the browser (for example, passwords saved in Chrome).,I use a third-party manager (for example, Lastpass or Onepass).,I use a system provided password manager (for example, Apple's Keychain).;15.097;17.517;21.624;3;Other People (friends, family, etc, but not at work);;Strongly Agree;Strongly Agree;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Strongly Agree;so that I don't have to remember passwords and can vary passwords from site to site;LastPass;;Extremely satisfied;I create the password myself, and the password manager stores it for me;Generate strong passwords;;Saves passwords that I do not want to save;;some sites save passcodes premtaurely so the wrong information can be saved;;;;;;Moderately likely;Somewhat Agree;Agree;Agree;Strongly Disagree;Somewhat Agree;Neither agree nor disagree;None of the above;Medium understanding;High understanding;Medium understanding;Medium understanding;High understanding;High understanding;Woman;;My age is:;41;No, not of Hispanic, Latino/a/x, or Spanish origin;Black or African American;;I want my email to be entered into the $10 Amazon gift card raffle
R_sXR4LhiimVo2D4d;Yes;Yes;Yes;Yes;GW Law;;Staff (non-faculty/administrative);;;;;Memory;I remembered my passwords without writing them down or storing them digitally;Yes;;;;;;;no;I have not changed it since I began employment and it was issued to me;It was created for me;No;Much more secure;GW created the password;I do not use a password manager.;16.626;16.626;22.643;1;I don’t know (don’t remember, not sure);;Somewhat Disagree;Somewhat Disagree;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Disagree;Somewhat Disagree;;;;;;;;;;;Lack of trust;No;;No;;Moderately unlikely;Somewhat Agree;Somewhat Agree;Somewhat Agree;Neither agree nor disagree;Somewhat Agree;Somewhat Agree;None of the above;Medium understanding;High understanding;Low understanding;Medium understanding;Low understanding;Low understanding;Man;;My age is:;52;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies
R_2AFgKJcTqA8DjMo;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Student;;No;Bachelors (B.A., B.S., etc.);;list;I stored my passwords in a digital file or files,I used a system-provided password manager (for example, Apple's Keychain);Yes;Yes;No;;;No;list of passwords or the password manager for one password for easy and fast login;n/a;old password that I have memorized;Ive memorized it;Yes;Somewhat more secure;because it has more characters;I use a system provided password manager (for example, Apple's Keychain).;12.932;12.932;21.051;1;I don’t know (don’t remember, not sure);;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;Somewhat Agree;Somewhat Disagree;Somewhat Agree;fast log in;Apple Keychain;;Moderately satisfied;I create the password myself and recall it without storing it in the password manager;Not having to type my passwords (autofill);;I have security concerns;;always afraid of computer being hacked;;;;;;Moderately unlikely;Somewhat Disagree;Somewhat Agree;Neither agree nor disagree;Strongly Disagree;Disagree;Neither agree nor disagree;None of the above;High understanding;Full Understanding;Low understanding;High understanding;Medium understanding;Low understanding;Woman;;Prefer not to disclose;;Prefer not to disclose;Prefer not to disclose;;I want my email to be entered into the $10 Amazon gift card raffle
R_2ZJpmG0k6bHdlR8;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Staff (non-faculty/administrative);;;;;There are so many logins to access the million systems at GW so I have to keep a spreadsheet of all my passwords. It's the only way, but since GW has started using SSO I have had less issues with passwords;I remembered my passwords without writing them down or storing them digitally,I reset my password every time I log in rather than remembering my password,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome);Yes;No;No;Yes;;;I am a terrible example because I often forget to update the spreadsheet and have to call OTS to reset my passwords.;nope;It's a password recyle of previous passwords with added numbers;It's the easiest way to remember;No;Unsure;pass;I save my passwords in the browser (for example, passwords saved in Chrome).;5.8;27.652;29.23;4;I first heard about it in this study;;Neither agree nor disagree;Somewhat Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;I don't;Chrome;;Moderately dissatisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;None of the above;;I'm not a fan of chrome because my GW systems are incredily wonky in chrome.;;;;;;Extremely likely;Strongly Disagree;Agree;Agree;Disagree;Agree;Agree;None of the above;Medium understanding;Medium understanding;Medium understanding;Medium understanding;Medium understanding;Medium understanding;Prefer not to disclose;;My age is:;41;Yes, Another Hispanic, Latino/a or Spanish origin;White;;I want my email to be entered into the $10 Amazon gift card raffle
R_3kpryYkb73dbBbB;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Staff (non-faculty/administrative);;;;;I try to keep them similar but I have a sheet of paper in my desk where I store work-related passwords. At home I keep them on a spreadsheet.;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a system-provided password manager (for example, Apple's Keychain),I wrote my passwords down on paper or other physical media.;Yes;No;No;Unsure;;No;I don't have a specific set of rules I follow. In large part it depends on how comfortable I am having the password saved. For more secure sites, such as a bank or credit card, I enter the password every time. But for something like a store account, I allow the password to be saved in my browser. For work use, I generally allow passwords to be saved because there are more layers of protection on my work laptop and many sites use 2 sets of passwords.;Not at this time;When prompted to change, I try to only change one character so it's easier to remember.;Ease of remembering;No;Much more secure;I deal with confidential information in my work at GW. Maintaining excellent security is extremely important and also a requirement.;I save my passwords in the browser (for example, passwords saved in Chrome).,I use a system provided password manager (for example, Apple's Keychain).;24.517;49.042;51.621;2;Media (Internet, TV, radio, etc),Other People (friends, family, etc, but not at work);;Neither agree nor disagree;Somewhat Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Disagree;Too many passwords to remember;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to memorize passwords;;None of the above;;I wasn't sure what answer I wanted to select. If forces I would pick security concerns;;;;;;Slightly unlikely;Agree;Somewhat Agree;Somewhat Agree;Somewhat Agree;Agree;Neither agree nor disagree;None of the above;High understanding;High understanding;Medium understanding;Low understanding;Medium understanding;Medium understanding;Woman;;My age is:;47;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_3kplPHOdBX3JrRM;Yes;Yes;Yes;Yes;Other;Finance Department - Student Account Office;Staff (non-faculty/administrative);;;;;One Note Notebook on a secured laptop;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a system-provided password manager (for example, Apple's Keychain);Yes;No;No;No;;No;"Systems I use every day where I may not record the the exact password I will use a word clue indicator followed by the actual numerics and symbols of the password. There are accounts that require non dictionary words, with upper and lower case letters, numbers and symbols for 15-20 digits in length. These are complete random typing of the keyboard and are recorded in One Note. 
 Many systems I have a user name and password to be entered - in these cases I will store the user name and not the user password for access.
 
 One note is my tool for secure savings of my passwords.";"I do not store passwords on paper or in notebooks or cellular devices. My laptop is my record retention device, I have not saved any passwords in a personal folder in 'Box""";The password was related to activity done on behalf of my neighbor.;I felt no one would understand the connection.;No;Somewhat less secure;Ease of remembrance with numerics and symbols. To others it may be cumbersome but compared to passwords of 20 digit in length I use it is less restrictive.;I save my passwords in the browser (for example, passwords saved in Chrome).;79.879;97.719;106.975;3;Work,Other People (friends, family, etc, but not at work);;Somewhat Agree;Somewhat Agree;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;Neither agree nor disagree;Somewhat Disagree;Neither agree nor disagree;Ease of Accessing the Necessary Accounts;Firefox;;Neither satisfied nor dissatisfied;I create the password myself and recall it without storing it in the password manager;Not having to memorize passwords;;I have security concerns;;I feel all computers and networks can be compromised with the user being the weakest link. Eliminate the number of devices passwords are stored on and the risk is reduced.;;;;;;Extremely likely;Strongly Agree;Strongly Agree;Agree;Agree;Strongly Agree;Agree;None of the above;Medium understanding;High understanding;Medium understanding;Medium understanding;High understanding;High understanding;Woman;;My age is:;60;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_qEDLJGlv0VqUpUZ;Yes;Yes;Yes;Yes;GW Law;;Full-time Faculty;;;;;Lastpass;I used a third-party password manager (for example, Lastpass or Onepass);No;;;;Yes;;;No;Random 8 character string;I always use random 8-16 character strings;No;About equally secure;For every account I have I use lastpass to store my account info and authy for 2-factor authentication. So all of my accounts are about equally secure.;I use a third-party manager (for example, Lastpass or Onepass).;10.453;10.453;41.967;1;Media (Internet, TV, radio, etc);;Somewhat Agree;Somewhat Agree;Somewhat Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Somewhat Agree;Somewhat Agree;Convenience and security;LastPass;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Having unique passwords;;Entering passwords when password manager is not installed;;Having to type out my long random alpha-numeric passwords is cumbersome.;;;;;;Extremely likely;Agree;Strongly Agree;Agree;Agree;Agree;Agree;I am majoring / have a degree in computer science or a closely related field;Full Understanding;Full Understanding;High understanding;Full Understanding;Full Understanding;Full Understanding;Man;;My age is:;24;No, not of Hispanic, Latino/a/x, or Spanish origin;Chinese;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_paXnq0vTxK2toIN;Yes;Yes;Yes;Yes;School of Medicine & Health Sciences;;Full-time Faculty;;;;;I change/update my passwords only when I am asked to do so. I save the passwords on my phone using an app that is secured.;I used a third-party password manager (for example, Lastpass or Onepass);Yes;;;;No;;;nothing notable;I joined GW little over a year ago, since then I am using only one password o n all GW accounts;It allows me to do and it is easy for me.;No;Much more secure;My password is complicated and long and it is not saved anywhere other that the third party app on my phone.;I use a third-party manager (for example, Lastpass or Onepass).;54.548;54.548;56.905;1;Other People (friends, family, etc, but not at work);;Somewhat Agree;Somewhat Agree;Somewhat Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Somewhat Agree;Strongly Disagree;for securely saving my passwords at one place;1Password;;Extremely satisfied;I create the password myself, and the password manager stores it for me;Not having to memorize passwords;;Master password concerns;;I am concerned about the security of the master password and cannot store it anywhere. I am afraid that I might forget it someday.;;;;;;Neither likely nor unlikely;Somewhat Disagree;Agree;Agree;Disagree;Somewhat Agree;Strongly Disagree;None of the above;High understanding;High understanding;Low understanding;Low understanding;Low understanding;Low understanding;Man;;My age is:;59;No, not of Hispanic, Latino/a/x, or Spanish origin;Asian Indian;;None of the above
R_8HcMsPnV6eeTZcJ;Yes;Yes;Yes;Yes;Other;GW Libraries;Staff (non-faculty/administrative);;;;;I have memorized the most often used passwords, but have the other less-used accounts written down for reference;I remembered my passwords without writing them down or storing them digitally,I wrote my passwords down on paper or other physical media.;No;;;;;;"I have memorized the passwords I use most often, so they are easiest to remember; for accounts that I don't access often enough to remember the passwords, I have them written down for reference when I do need them";N/A;It is the answer to a personal joke;It was easy to remember;No;About equally secure;I try to make all my passwords as secure as possible;I do not use a password manager.;8.537;8.537;28.128;1;Other People (friends, family, etc, but not at work);;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;;;;;;;;;;;"No need; my system works for me and I see no reason to change it";No;;I could lose the paper where I have all my other passwords written down, or I just get tired of referring to it;;Extremely unlikely;Agree;Somewhat Agree;Strongly Agree;Somewhat Agree;Agree;Neither agree nor disagree;None of the above;Full Understanding;Full Understanding;Medium understanding;High understanding;Medium understanding;Medium understanding;Woman;;My age is:;32;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;None of the above
R_3ZTibkbdcvQsIA9;Yes;Yes;Yes;Yes;School of Engineering & Applied Science;;Staff (non-faculty/administrative);;;;;Lastpass and Google;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a third-party password manager (for example, Lastpass or Onepass),I used a system-provided password manager (for example, Apple's Keychain);Yes;No;Yes;Yes;Yes;Yes;I use them because I can't remember shit :);N/A - but GWU LastPass policies are not user friendly.;Smerged four old passwords into one.;Because I need to remember it.;Yes;Much more secure;GW NetID's are at a high risk for compromise, so I make it a difficult password.;I save my passwords in the browser (for example, passwords saved in Chrome).,I use a third-party manager (for example, Lastpass or Onepass).,I use a system provided password manager (for example, Apple's Keychain).;14.985;16.869;22.63;3;Work,School/class;;Neither agree nor disagree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Agree;Strongly Agree;Somewhat Agree;Strongly Agree;so I can keep track of the thousands of passwords I need;LastPass;;Extremely dissatisfied;I let the password manager create and store the password;Not having to type my passwords (autofill);;Other;Repeated logins for the password manager. GWIT policy sucks because it logs you out every 29 minutes.;I have to keep logging into my password manager (LastPass) throughout the day.;;;;;;Extremely likely;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Neither agree nor disagree;Strongly Agree;I work in the field of IT security;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Man;;My age is:;45;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_3qUm2p1NCfcKrRq;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Full-time Faculty;;;;;I have a password management system.;I used a third-party password manager (for example, Lastpass or Onepass);No;;;;Yes;;;having the password management system across devices makes it feasible to have complex passwords;memorable combo of numbers letters and signs so that I can type it into workstations at the university (if I ever work at those again, lol);for above-mentioned reason;Yes;Somewhat less secure;because I felt like I needed it also to be memorable to enter into workstations on campus (specifically, in the classroom), although this is not currently an issue.;I use a third-party manager (for example, Lastpass or Onepass).;6.238;6.238;129.567;1;Other People (friends, family, etc, but not at work);;Strongly Agree;Strongly Agree;Somewhat Agree;Somewhat Agree;Somewhat Disagree;Somewhat Agree;Strongly Agree;Somewhat Agree;ease and security;1Password;;Moderately satisfied;I let the password manager create and store the password;Generate strong passwords;;Entering passwords on an incompatible device where the password manger cannot be installed;;it's very hard to enter the strong passwords when I can't copy and paste the password or automatically fill it be calling up 1 password;;;;;;Extremely likely;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;None of the above;Medium understanding;Medium understanding;Low understanding;Low understanding;Low understanding;Medium understanding;Woman;;My age is:;51;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
